Essai	Type	Methode	TailleStructure	Time	Memory
2	ArrayList	Get	1000	0.07	51040	
3	ArrayList	Get	1000	0.07	48848	
4	ArrayList	Get	1000	0.10	50808	
5	ArrayList	Get	1000	0.09	49308	
6	ArrayList	Get	1000	0.08	51016	
7	ArrayList	Get	1000	0.08	55124	
8	ArrayList	Get	1000	0.08	51152	
9	ArrayList	Get	1000	0.08	50728	
10	ArrayList	Get	1000	0.08	50980	
1	ArrayList	Get	5000	0.09	53908	
2	ArrayList	Get	5000	0.08	53016	
3	ArrayList	Get	5000	0.09	53976	
4	ArrayList	Get	5000	0.08	52952	
5	ArrayList	Get	5000	0.09	49180	
6	ArrayList	Get	5000	0.09	55756	
7	ArrayList	Get	5000	0.09	53340	
8	ArrayList	Get	5000	0.07	50932	
9	ArrayList	Get	5000	0.08	49016	
10	ArrayList	Get	5000	0.07	56332	
1	ArrayList	Get	10000	0.08	53964	
2	ArrayList	Get	10000	0.10	51300	
3	ArrayList	Get	10000	0.09	49060	
4	ArrayList	Get	10000	0.08	53084	
5	ArrayList	Get	10000	0.08	55924	
6	ArrayList	Get	10000	0.09	49032	
7	ArrayList	Get	10000	0.09	53272	
8	ArrayList	Get	10000	0.09	50812	
9	ArrayList	Get	10000	0.09	53200	
10	ArrayList	Get	10000	0.07	49468	
1	ArrayList	Get	50000	0.09	49380	
2	ArrayList	Get	50000	0.08	49280	
3	ArrayList	Get	50000	0.09	49340	
4	ArrayList	Get	50000	0.09	56428	
5	ArrayList	Get	50000	0.11	54296	
6	ArrayList	Get	50000	0.10	51528	
7	ArrayList	Get	50000	0.10	51124	
8	ArrayList	Get	50000	0.10	53260	
9	ArrayList	Get	50000	0.10	52416	
10	ArrayList	Get	50000	0.11	53188	
1	ArrayList	Get	100000	0.13	55208	
2	ArrayList	Get	100000	0.09	51400	
3	ArrayList	Get	100000	0.12	55188	
4	ArrayList	Get	100000	0.13	55856	
5	ArrayList	Get	100000	0.11	55388	
6	ArrayList	Get	100000	0.11	58544	
7	ArrayList	Get	100000	0.10	56508	
8	ArrayList	Get	100000	0.12	53092	
9	ArrayList	Get	100000	0.11	55660	
10	ArrayList	Get	100000	0.12	53412	
1	ArrayList	Get	250000	0.14	64880	
2	ArrayList	Get	250000	0.12	59748	
3	ArrayList	Get	250000	0.13	57792	
4	ArrayList	Get	250000	0.13	61844	
5	ArrayList	Get	250000	0.12	62744	
6	ArrayList	Get	250000	0.11	60556	
7	ArrayList	Get	250000	0.09	62844	
8	ArrayList	Get	250000	0.12	59712	
9	ArrayList	Get	250000	0.13	57872	
10	ArrayList	Get	250000	0.12	60488	
1	ArrayList	Get	500000	0.14	70096	
2	ArrayList	Get	500000	0.14	70044	
3	ArrayList	Get	500000	0.13	71160	
4	ArrayList	Get	500000	0.10	70124	
5	ArrayList	Get	500000	0.13	64100	
6	ArrayList	Get	500000	0.14	67928	
7	ArrayList	Get	500000	0.14	64068	
8	ArrayList	Get	500000	0.15	71164	
9	ArrayList	Get	500000	0.11	66176	
10	ArrayList	Get	500000	0.13	65880	
1	LinkedList	Add	1000	0.05	51116	
2	LinkedList	Add	1000	0.08	48960	
3	LinkedList	Add	1000	0.09	48992	
4	LinkedList	Add	1000	0.09	56204	
5	LinkedList	Add	1000	0.09	49164	
6	LinkedList	Add	1000	0.08	51228	
7	LinkedList	Add	1000	0.09	49008	
8	LinkedList	Add	1000	0.10	53880	
9	LinkedList	Add	1000	0.07	52952	
10	LinkedList	Add	1000	0.07	49176	
1	LinkedList	Add	5000	0.10	51008	
2	LinkedList	Add	5000	0.09	51024	
3	LinkedList	Add	5000	0.09	56224	
4	LinkedList	Add	5000	0.07	48952	
5	LinkedList	Add	5000	0.08	51144	
6	LinkedList	Add	5000	0.07	56072	
7	LinkedList	Add	5000	0.08	56088	
8	LinkedList	Add	5000	0.08	50828	
9	LinkedList	Add	5000	0.08	51152	
10	LinkedList	Add	5000	0.08	49376	
1	LinkedList	Add	10000	0.08	49064	
2	LinkedList	Add	10000	0.08	49384	
3	LinkedList	Add	10000	0.07	54032	
4	LinkedList	Add	10000	0.08	51188	
5	LinkedList	Add	10000	0.09	52044	
6	LinkedList	Add	10000	0.07	51092	
7	LinkedList	Add	10000	0.09	53940	
8	LinkedList	Add	10000	0.08	51232	
9	LinkedList	Add	10000	0.07	49180	
10	LinkedList	Add	10000	0.08	54064	
1	LinkedList	Add	50000	0.12	53472	
2	LinkedList	Add	50000	0.10	58992	
3	LinkedList	Add	50000	0.11	56716	
4	LinkedList	Add	50000	0.12	51792	
5	LinkedList	Add	50000	0.09	53876	
6	LinkedList	Add	50000	0.13	51720	
7	LinkedList	Add	50000	0.10	56724	
8	LinkedList	Add	50000	0.10	56788	
9	LinkedList	Add	50000	0.11	55620	
10	LinkedList	Add	50000	0.11	53852	
1	LinkedList	Add	100000	0.12	56052	
2	LinkedList	Add	100000	0.12	51876	
3	LinkedList	Add	100000	0.13	56688	
4	LinkedList	Add	100000	0.11	56120	
5	LinkedList	Add	100000	0.12	56000	
6	LinkedList	Add	100000	0.14	59332	
7	LinkedList	Add	100000	0.11	51984	
8	LinkedList	Add	100000	0.12	56316	
9	LinkedList	Add	100000	0.13	52736	
10	LinkedList	Add	100000	0.12	57168	
1	LinkedList	Add	250000	0.14	63264	
2	LinkedList	Add	250000	0.14	64556	
3	LinkedList	Add	250000	0.13	62428	
4	LinkedList	Add	250000	0.15	62212	
5	LinkedList	Add	250000	0.15	62360	
6	LinkedList	Add	250000	0.13	58956	
7	LinkedList	Add	250000	0.13	60308	
8	LinkedList	Add	250000	0.13	60384	
