Essai	Type	Methode	TailleStructure	Time	Memory
7	ArrayList	Remove	20000000	5.36	689696	
8	ArrayList	Remove	20000000	6.35	689692	
9	ArrayList	Remove	20000000	5.90	687328	
10	ArrayList	Remove	20000000	5.68	694732	
1	ArrayList	Get	500000	0.17	70972	
2	ArrayList	Get	500000	0.13	65896	
3	ArrayList	Get	500000	0.16	65812	
4	ArrayList	Get	500000	0.13	71128	
5	ArrayList	Get	500000	0.13	68944	
6	ArrayList	Get	500000	0.14	68952	
7	ArrayList	Get	500000	0.14	69956	
8	ArrayList	Get	500000	0.12	67948	
9	ArrayList	Get	500000	0.13	68132	
10	ArrayList	Get	500000	0.14	69768	
1	ArrayList	Get	1000000	0.23	88980	
2	ArrayList	Get	1000000	0.20	86856	
3	ArrayList	Get	1000000	0.20	91884	
4	ArrayList	Get	1000000	0.20	91976	
5	ArrayList	Get	1000000	0.18	86728	
6	ArrayList	Get	1000000	0.20	87744	
7	ArrayList	Get	1000000	0.18	89680	
8	ArrayList	Get	1000000	0.19	84848	
9	ArrayList	Get	1000000	0.18	86784	
10	ArrayList	Get	1000000	0.20	86744	
1	ArrayList	Get	2500000	0.32	130956	
2	ArrayList	Get	2500000	0.33	130996	
3	ArrayList	Get	2500000	0.36	126056	
4	ArrayList	Get	2500000	0.37	125852	
5	ArrayList	Get	2500000	0.32	131172	
6	ArrayList	Get	2500000	0.39	126240	
7	ArrayList	Get	2500000	0.38	127940	
8	ArrayList	Get	2500000	0.36	132840	
9	ArrayList	Get	2500000	0.36	124008	
10	ArrayList	Get	2500000	0.34	124088	
1	ArrayList	Get	5000000	0.68	207016	
2	ArrayList	Get	5000000	0.70	206100	
3	ArrayList	Get	5000000	0.64	204868	
4	ArrayList	Get	5000000	0.67	204008	
5	ArrayList	Get	5000000	0.66	207124	
6	ArrayList	Get	5000000	0.61	206044	
7	ArrayList	Get	5000000	0.70	202448	
8	ArrayList	Get	5000000	0.62	202048	
9	ArrayList	Get	5000000	0.62	201588	
10	ArrayList	Get	5000000	0.68	208268	
1	ArrayList	Get	10000000	2.55	422464	
2	ArrayList	Get	10000000	2.70	416356	
3	ArrayList	Get	10000000	2.78	421324	
4	ArrayList	Get	10000000	2.83	423364	
5	ArrayList	Get	10000000	2.73	420236	
6	ArrayList	Get	10000000	3.34	423640	
7	ArrayList	Get	10000000	3.42	418308	
8	ArrayList	Get	10000000	2.74	418380	
9	ArrayList	Get	10000000	2.93	418240	
10	ArrayList	Get	10000000	3.05	420232	
1	ArrayList	Get	15000000	4.49	597040	
2	ArrayList	Get	15000000	4.22	590872	
3	ArrayList	Get	15000000	4.93	599892	
4	ArrayList	Get	15000000	4.29	602324	
5	ArrayList	Get	15000000	4.39	599256	
6	ArrayList	Get	15000000	4.47	592940	
7	ArrayList	Get	15000000	4.08	598948	
8	ArrayList	Get	15000000	4.11	595036	
9	ArrayList	Get	15000000	4.49	595100	
10	ArrayList	Get	15000000	4.39	597168	
1	ArrayList	Get	20000000	5.23	689252	
2	ArrayList	Get	20000000	5.46	687476	
3	ArrayList	Get	20000000	5.83	689436	
4	ArrayList	Get	20000000	5.91	692292	
5	ArrayList	Get	20000000	5.59	691540	
6	ArrayList	Get	20000000	5.70	694512	
7	ArrayList	Get	20000000	5.19	689324	
8	ArrayList	Get	20000000	5.75	692544	
9	ArrayList	Get	20000000	5.75	691616	
10	ArrayList	Get	20000000	5.97	685588	
1	LinkedList	Add	500000	0.14	70528	
2	LinkedList	Add	500000	0.13	72440	
3	LinkedList	Add	500000	0.13	72924	
4	LinkedList	Add	500000	0.11	72516	
5	LinkedList	Add	500000	0.12	73044	
6	LinkedList	Add	500000	0.12	72960	
7	LinkedList	Add	500000	0.13	70512	
8	LinkedList	Add	500000	0.13	73432	
9	LinkedList	Add	500000	0.14	74592	
10	LinkedList	Add	500000	0.12	72732	
1	LinkedList	Add	1000000	0.15	93676	
2	LinkedList	Add	1000000	0.16	90872	
3	LinkedList	Add	1000000	0.13	92104	
4	LinkedList	Add	1000000	0.15	94600	
5	LinkedList	Add	1000000	0.14	96736	
6	LinkedList	Add	1000000	0.14	93860	
7	LinkedList	Add	1000000	0.16	96104	
8	LinkedList	Add	1000000	0.18	96444	
9	LinkedList	Add	1000000	0.17	96024	
10	LinkedList	Add	1000000	0.14	91140	
1	LinkedList	Add	2500000	0.28	146496	
2	LinkedList	Add	2500000	0.24	148652	
3	LinkedList	Add	2500000	0.27	149508	
4	LinkedList	Add	2500000	0.21	148280	
5	LinkedList	Add	2500000	0.21	144336	
6	LinkedList	Add	2500000	0.21	147304	
7	LinkedList	Add	2500000	0.20	147496	
8	LinkedList	Add	2500000	0.26	144248	
9	LinkedList	Add	2500000	0.25	142400	
10	LinkedList	Add	2500000	0.23	142136	
1	LinkedList	Add	5000000	26.94	358364	
2	LinkedList	Add	5000000	26.13	361320	
3	LinkedList	Add	5000000	28.60	361936	
4	LinkedList	Add	5000000	28.57	357984	
5	LinkedList	Add	5000000	24.01	356324	
6	LinkedList	Add	5000000	25.96	352588	
7	LinkedList	Add	5000000	31.61	358744	
8	LinkedList	Add	5000000	33.11	353524	
9	LinkedList	Add	5000000	27.38	358324	
10	LinkedList	Add	5000000	28.38	358340	
1	LinkedList	Add	10000000	59.17	549880	
2	LinkedList	Add	10000000	56.29	548780	
3	LinkedList	Add	10000000	58.57	559860	
4	LinkedList	Add	10000000	66.53	550240	
5	LinkedList	Add	10000000	75.78	561172	
6	LinkedList	Add	10000000	79.46	551260	
7	LinkedList	Add	10000000	74.17	554880	
8	LinkedList	Add	10000000	75.56	551660	
9	LinkedList	Add	10000000	74.62	555440	
10	LinkedList	Add	10000000	72.88	556328	
1	LinkedList	Add	15000000	97.78	795204	
2	LinkedList	Add	15000000	98.94	787116	
3	LinkedList	Add	15000000	92.39	785044	
4	LinkedList	Add	15000000	93.69	793436	
5	LinkedList	Add	15000000	93.97	785836	
6	LinkedList	Add	15000000	95.78	788740	
7	LinkedList	Add	15000000	91.53	784916	
8	LinkedList	Add	15000000	90.00	792336	
9	LinkedList	Add	15000000	83.92	797248	
10	LinkedList	Add	15000000	91.20	784464	
1	LinkedList	Add	20000000	148.19	1283224	
2	LinkedList	Add	20000000	139.93	1274792	
3	LinkedList	Add	20000000	151.74	1278760	
4	LinkedList	Add	20000000	151.47	1271092	
5	LinkedList	Add	20000000	154.05	1287560	
6	LinkedList	Add	20000000	152.20	1279236	
7	LinkedList	Add	20000000	151.38	1277532	
8	LinkedList	Add	20000000	153.98	1279432	
9	LinkedList	Add	20000000	152.05	1285824	
10	LinkedList	Add	20000000	155.65	1281236	
1	LinkedList	Remove	500000	0.12	70624	
2	LinkedList	Remove	500000	0.13	72556	
3	LinkedList	Remove	500000	0.12	72548	
4	LinkedList	Remove	500000	0.14	76340	
5	LinkedList	Remove	500000	0.13	72348	
6	LinkedList	Remove	500000	0.14	78356	
7	LinkedList	Remove	500000	0.12	75568	
8	LinkedList	Remove	500000	0.13	75548	
9	LinkedList	Remove	500000	0.13	72748	
10	LinkedList	Remove	500000	0.12	73100	
1	LinkedList	Remove	1000000	0.18	93472	
2	LinkedList	Remove	1000000	0.15	88912	
3	LinkedList	Remove	1000000	0.13	88900	
4	LinkedList	Remove	1000000	0.14	93392	
5	LinkedList	Remove	1000000	0.14	96120	
6	LinkedList	Remove	1000000	0.14	94096	
7	LinkedList	Remove	1000000	0.14	90920	
8	LinkedList	Remove	1000000	0.15	89160	
9	LinkedList	Remove	1000000	0.13	94676	
10	LinkedList	Remove	1000000	0.16	93204	
