Essai	Type	Methode	TailleStructure	Time	Memory
4	Vector	Get	15000000	4.02	523244	
5	Vector	Get	15000000	3.76	521264	
6	Vector	Get	15000000	3.88	519032	
7	Vector	Get	15000000	4.08	522232	
8	Vector	Get	15000000	3.98	530292	
9	Vector	Get	15000000	4.27	524268	
10	Vector	Get	15000000	4.04	523492	
1	Vector	Get	20000000	5.20	622980	
2	Vector	Get	20000000	5.07	622772	
3	Vector	Get	20000000	5.03	617568	
4	Vector	Get	20000000	4.63	613532	
5	Vector	Get	20000000	5.14	619584	
6	Vector	Get	20000000	5.45	622820	
7	Vector	Get	20000000	5.38	622820	
8	Vector	Get	20000000	5.27	618836	
9	Vector	Get	20000000	5.48	609736	
10	Vector	Get	20000000	4.73	622496	
